# partial outage series 2026-09-07: 16 GiB Core, 10 GiB heap, 250 threads, 11,000 devices, netem 75/25 ms. Levels 25/50/75/100% of the fleet dropped silently by /24 blocks on netsim (bin/level.sh); each level 3 cycles, judged over cycles 2-3, then 2 cycles recovery.
time services pending active done_s core% minion% db% heap_gib oldgc_min snmp_mbit core_load events_1m dcfailed_1m dcsucceeded_1m alarms alarms_open_major
14:53:16 11004 0 151 23.6 17.5 6.5 6.6 9.1 0.0 4.8 2.0 1077 1077 0 8250 8250
14:54:16 11004 0 123 39.4 22.9 10.1 10.1 8.3 0.0 6.7 4.2 0 0 0 8250 8250
14:55:16 11004 0 167 38.7 15.4 10.0 6.8 8.6 0.0 6.3 2.1 0 0 0 8250 8250
14:56:15 11004 0 163 39.5 29.1 10.9 10.2 6.7 0.0 7.1 3.4 0 0 0 8250 8250
14:57:16 11004 0 138 39.1 16.3 10.4 7.1 4.9 0.0 6.7 2.8 0 0 0 8250 8250
14:58:18 11004 0 148 23.3 18.1 7.1 8.4 8.5 0.0 4.9 2.7 0 0 0 8250 8250
14:59:15 11004 0 163 39.0 19.7 10.3 7.6 4.6 0.0 6.7 1.3 0 0 0 8250 8250
15:00:16 11004 0 168 39.3 21.8 9.9 9.4 6.4 0.0 6.3 1.4 0 0 0 8250 8250
15:01:16 11004 0 135 38.8 26.4 10.9 7.8 9.0 0.0 7.1 3.0 0 0 0 8250 8250
15:02:17 11004 0 183 39.2 22.5 10.3 9.8 7.8 0.0 6.7 1.8 0 0 0 8250 8250
15:03:15 11004 0 149 23.2 14.5 6.8 5.6 5.3 0.0 4.8 1.9 0 0 0 8250 8250
15:04:16 11004 0 152 38.8 18.5 10.5 9.7 7.2 0.0 6.8 2.4 40 0 0 8250 8250
# LEVEL 75 OFF drop rules now: 1 2026-09-07T15:04:17Z 
15:05:16 11004 0 192 38.8 63.5 31.6 32.4 5.0 0.0 22.2 9.6 1898 0 1672 8250 6579
15:06:17 11004 19 198 39.3 66.5 30.5 35.8 9.4 0.0 21.9 11.7 1902 0 1710 8250 4840
15:07:16 11004 0 231 38.6 65.8 31.8 36.2 7.1 0.0 22.1 9.6 2007 0 1761 8250 3090
15:08:16 11004 0 156 24.1 49.2 20.7 25.3 8.0 0.0 14.3 7.5 1501 0 1245 8250 1844
15:09:16 11004 0 191 38.8 68.0 31.1 33.8 9.3 0.0 22.1 16.4 1904 0 1707 8250 139
15:10:16 11004 0 231 39.1 70.2 31.5 33.9 8.9 0.0 22.1 14.1 324 0 119 6550 0
15:11:16 11004 0 217 39.1 70.5 31.7 32.4 8.3 0.0 22.1 14.5 235 0 0 4879 0
15:12:17 11004 0 214 38.6 73.8 32.1 33.6 8.6 0.0 22.1 17.4 249 0 0 3078 0
15:13:16 11004 0 151 24.4 50.0 20.4 21.3 8.2 0.0 14.1 14.8 183 0 0 1844 0
# LEVEL 100 ON drop rules now: 2 2026-09-07T15:14:11Z  (all 44 blocks, 11,000 devices)
15:14:16 11004 0 164 38.8 71.5 31.1 32.9 8.8 0.0 22.2 18.7 424 174 0 290 173
15:15:16 11004 0 154 39.6 16.5 5.0 5.2 7.0 0.0 1.8 7.3 2512 2373 0 2590 2590
15:16:16 11004 0 102 38.9 11.5 4.9 5.7 6.8 0.0 1.8 3.4 2503 2363 0 4908 4908
15:17:16 11004 0 171 39.5 20.0 4.4 4.5 7.7 0.0 1.8 2.1 2514 2374 0 7282 7282
15:18:16 11004 0 148 22.9 11.3 2.9 6.0 5.3 0.0 1.8 1.1 1671 1621 0 8874 8874
15:19:16 11004 0 149 38.8 10.2 4.0 4.6 6.9 0.0 1.8 2.3 2067 2067 0 10999 10999
15:20:15 11004 0 141 39.6 9.1 3.9 3.9 6.4 0.0 1.8 1.2 0 0 0 10999 10999
15:21:16 11004 0 102 39.1 5.7 4.0 1.2 5.3 0.0 1.8 0.6 0 0 0 10999 10999
15:22:16 11004 0 115 39.1 17.2 4.2 4.5 6.2 0.0 1.8 5.7 0 0 0 10999 10999
15:23:17 11004 0 148 22.8 5.3 2.7 1.5 3.5 0.0 1.8 2.3 0 0 0 10999 10999
15:24:15 11004 0 154 39.1 7.5 4.4 3.8 8.3 0.0 1.8 1.2 0 0 0 10999 10999
15:25:16 11004 0 142 39.5 5.5 4.5 1.1 7.3 0.0 1.8 0.8 0 0 0 10999 10999
15:26:16 11004 0 102 39.1 10.3 4.1 3.7 6.3 0.0 1.8 0.5 0 0 0 10999 10999
15:27:16 11004 0 113 39.1 14.6 4.3 1.1 6.6 0.0 1.8 3.4 0 0 0 10999 10999
15:28:16 11004 0 148 23.5 7.5 2.9 4.2 5.4 0.0 1.8 1.2 0 0 0 10999 10999
15:29:16 11004 0 160 39.1 5.6 4.2 1.1 4.5 0.0 1.8 0.7 0 0 0 10999 10999
15:30:16 11004 0 149 39.4 10.2 4.1 3.8 4.1 0.0 1.8 0.7 0 0 0 10999 10999
# LEVEL 100 OFF drop rules now: 1 2026-09-07T15:30:25Z 
15:31:16 11004 0 161 37.9 46.9 28.4 23.9 5.2 0.0 20.5 5.4 1881 0 1881 10999 9118
15:32:17 11004 0 213 38.7 69.9 29.5 34.5 5.4 0.0 21.5 9.5 2401 0 2401 10999 6714
15:33:16 11004 0 151 24.4 41.9 18.1 21.9 6.2 0.0 13.8 8.4 1667 0 1667 10999 5115
15:34:16 nan nan nan nan 46.7 20.0 13.7 0.4 0.0 8.2 11.2 709 0 709 10999 4404
15:35:17 6636 6255 250 2.7 81.6 42.1 6.7 3.1 0.0 6.0 20.4 90 0 0 10999 4404
15:36:16 9856 7072 250 40.6 97.2 38.3 42.1 9.2 0.0 23.0 40.1 270 0 0 9283 4404
15:37:17 11004 5391 250 47.4 86.5 46.4 45.6 5.7 0.0 26.6 32.0 324 0 0 6714 4404
15:38:16 11004 2535 250 48.8 78.9 38.5 39.8 8.8 0.0 26.6 26.1 74 0 0 5113 4404
15:39:17 11004 0 0 46.3 83.7 32.9 39.7 8.4 0.0 21.9 19.3 60 0 0 4404 4404
15:40:16 11004 0 32 5.5 22.1 7.7 6.1 7.5 0.0 6.0 8.3 190 0 0 4404 4404
15:41:16 11004 0 237 40.2 77.5 34.8 33.6 9.1 0.0 22.9 22.0 240 0 0 4404 4404
15:42:16 11004 230 250 42.8 86.9 38.8 35.5 7.9 0.2 24.3 14.1 240 0 0 4404 4404
